avgrq-sz,node156,node157
134,64.0,64.0
135,64.0,64.0
136,64.0,64.0
137,64.0,64.0
138,64.0,64.0
139,64.0,64.0
140,64.0,64.0
141,64.0,64.0
142,64.0,64.0
143,64.0,64.0
144,64.0,64.0
145,64.0,64.0
146,64.0,64.0
147,64.0,64.0
148,64.0,64.0
149,64.0,64.0
150,64.0,64.0
151,64.0,64.0
152,64.0,64.0
153,64.0,64.0
154,64.0,64.0
155,64.0,64.0
156,64.0,64.0
157,64.0,64.0
158,64.0,64.0
159,64.0,64.0
160,64.0,64.0
161,64.0,64.0
162,64.0,64.0
163,64.0,64.0
164,64.0,64.0
165,64.0,64.0
166,64.0,64.0
167,64.0,64.0
168,64.0,64.0
169,64.0,64.0
170,64.0,64.0
171,64.0,64.0
172,64.0,64.0
173,64.0,64.0
174,64.0,64.0
175,64.0,64.0
176,64.0,64.0
177,64.0,64.0
178,64.0,64.0
179,64.0,64.0
180,64.0,64.0
181,64.0,64.0
182,64.0,64.0
183,64.0,64.0
184,64.0,64.0
185,64.0,64.0
186,64.0,64.0
187,64.0,64.0
188,64.0,64.0
189,64.0,64.0
190,64.0,64.0
191,64.0,64.0
192,64.0,64.0
193,64.0,64.0
194,64.0,64.0
195,64.0,64.0
196,64.0,64.0
197,64.0,64.0
198,64.0,64.0
199,64.0,64.0
200,64.0,64.0
201,64.0,64.0
202,64.0,64.0
203,64.0,64.0
204,64.0,64.0
205,64.0,64.0
206,64.0,64.0
207,64.0,64.0
208,64.0,64.0
209,64.0,64.0
210,64.0,64.0
211,64.0,64.0
212,64.0,64.0
213,64.0,64.0
214,64.0,64.0
215,64.0,64.0
216,64.0,64.0
217,64.0,64.0
218,64.0,64.0
219,64.0,64.0
220,64.0,64.0
221,64.0,64.0
222,64.0,64.0
223,64.0,64.0
224,64.0,64.0
225,64.0,64.0
226,64.0,64.0
227,64.0,64.0
228,64.0,64.0
229,64.0,64.0
230,64.0,64.0
231,64.0,64.0
232,64.0,64.0
233,64.0,64.0
234,64.0,64.0
235,64.0,64.0
236,64.0,64.0
237,64.0,64.0
238,64.0,64.0
239,64.0,64.0
240,64.0,64.0
241,64.0,64.0
242,64.0,64.0
243,64.0,64.0
244,64.0,64.0
245,64.0,64.0
246,64.0,64.0
247,64.0,64.0
248,64.0,64.0
249,64.0,64.0
250,64.0,64.0
251,64.0,64.0
252,64.0,64.0
253,64.0,64.0
254,64.0,64.0
255,64.0,64.0
256,64.0,64.0
257,64.0,64.0
258,64.0,64.0
259,64.0,64.0
260,64.0,64.0
261,64.0,64.0
262,64.0,64.0
263,64.0,64.0
264,64.0,64.0
265,64.0,64.0
266,64.0,64.0
267,64.0,64.0
268,64.0,64.0
269,64.0,64.0
270,64.0,64.0
271,64.0,64.0
272,64.0,64.0
273,64.0,64.0
274,64.0,64.0
275,64.0,64.0
276,64.0,64.0
277,64.0,64.0
278,64.0,64.0
279,64.0,64.0
280,64.0,64.0
281,64.0,64.0
282,64.0,64.0
283,64.0,64.0
284,64.0,64.0
285,64.0,64.0
286,64.0,64.0
287,64.0,64.0
288,64.0,64.0
289,64.0,64.0
290,64.0,64.0
291,64.0,64.0
292,64.0,64.0
293,64.0,64.0
294,64.0,64.0
295,64.0,64.0
296,64.0,64.0
297,64.0,64.0
298,64.0,64.0
299,64.0,64.0
300,64.0,64.0
301,64.0,64.0
302,64.0,64.0
303,64.0,64.0
304,64.0,64.0
305,64.0,64.0
306,64.0,64.0
307,64.0,64.0
308,64.0,64.0
309,64.0,64.0
310,64.0,64.0
311,64.0,64.0
312,64.0,64.0
313,64.0,64.0
314,64.0,64.0
315,64.0,64.0
316,64.0,64.0
317,64.0,64.0
318,64.0,64.0
319,64.0,64.0
320,64.0,64.0
321,64.0,64.0
322,64.0,64.0
323,64.0,64.0
324,64.0,64.0
325,64.0,64.0
326,64.0,64.0
327,64.0,64.0
328,64.0,64.0
329,64.0,64.0
330,64.0,64.0
331,64.0,64.0
332,64.0,64.0
333,64.0,64.0
334,64.0,64.0
335,64.0,64.0
336,64.0,64.0
337,64.0,64.0
338,64.0,64.0
339,64.0,64.0
340,64.0,64.0
341,64.0,64.0
342,64.0,64.0
343,64.0,64.0
344,64.0,64.0
345,64.0,64.0
346,64.0,64.0
347,64.0,64.0
348,64.0,64.0
349,64.0,64.0
350,64.0,64.0
351,64.0,64.0
352,64.0,64.0
353,64.0,64.0
354,64.0,64.0
355,64.0,64.0
356,64.0,64.0
357,64.0,64.0
358,64.0,64.0
359,64.0,64.0
360,64.0,64.0
361,64.0,64.0
362,64.0,64.0
363,64.0,64.0
364,64.0,64.0
365,64.0,64.0
366,64.0,64.0
367,64.0,64.0
368,64.0,64.0
369,64.0,64.0
370,64.0,64.0
371,64.0,64.0
372,64.0,64.0
373,64.0,64.0
374,64.0,64.0
375,64.0,64.0
376,64.0,64.0
377,64.0,64.0
378,64.0,64.0
379,64.0,64.0
380,64.0,64.0
381,64.0,64.0
382,64.0,64.0
383,64.0,64.0
384,64.0,64.0
385,64.0,64.0
386,64.0,64.0
387,64.0,64.0
388,64.0,64.0
389,64.0,64.0
390,64.0,64.0
391,64.0,64.0
392,64.0,64.0
393,64.0,55.08
394,39.79,0.0
395,0.0,0.0
396,0.0,0.0
397,0.0,0.0
398,0.0,0.0
399,0.0,0.0
